Entity,Code,Year,secondhand_smoke,smoking,ambient_particulate_matter_pollution
Afghanistan,AFG,2019,6061.5737,10305.869,8678.681
African Region (WHO),,2019,63688.203,236433.22,237234.95
Albania,ALB,2019,773.7141,4424.722,1532.4431
Algeria,DZA,2019,7670.411,21555.373,21613.342
American Samoa,ASM,2019,15.218075,54.950916,7.75195
Andorra,AND,2019,7.6396303,106.49164,10.562062
Angola,AGO,2019,1634.3359,7510.508,5562.7783
Antigua and Barbuda,ATG,2019,7.861117,36.831387,29.99714
Argentina,ARG,2019,8578.11,51306.055,12590.0625
Armenia,ARM,2019,1006.1611,4864.4473,3090.598
Australia,AUS,2019,1581.6207,18999.145,1781.4751
Austria,AUT,2019,1205.9149,12313.909,2389.1748
Azerbaijan,AZE,2019,3137.836,12497.445,7859.588
Bahamas,BHS,2019,32.815132,155.48254,99.2175
Bahrain,BHR,2019,147.99011,545.49414,623.6666
Bangladesh,BGD,2019,24663.678,105711.91,73975.98
Barbados,BRB,2019,29.43697,156.931,174.88213
Belarus,BLR,2019,2434.8088,20509.408,8402.853
Belgium,BEL,2019,1360.1493,19615.668,3491.2231
Belize,BLZ,2019,28.269451,138.04837,93.108864
Benin,BEN,2019,655.95807,1938.2441,2304.3418
Bermuda,BMU,2019,7.6687846,61.285347,7.9284644
Bhutan,BTN,2019,67.654236,332.15582,269.69626
Bolivia,BOL,2019,579.57825,3529.298,3885.155
Bosnia and Herzegovina,BIH,2019,1309.5702,8700.167,3622.21
Botswana,BWA,2019,427.14706,1588.254,942.1205
Brazil,BRA,2019,27787.932,170119.67,43574.688
Brunei,BRN,2019,34.23701,267.00256,38.678017
Bulgaria,BGR,2019,3023.452,20638.621,9071.663
Burkina Faso,BFA,2019,1660.0774,2990.1125,3383.6775
Burundi,BDI,2019,377.7665,2778.5208,976.5925
Cambodia,KHM,2019,3374.3804,16458.541,3499.0483
Cameroon,CMR,2019,1361.8105,5413.977,10250.118
Canada,CAN,2019,3242.5308,49645.523,3765.436
Cape Verde,CPV,2019,42.559097,156.8471,318.50287
Central African Republic,CAF,2019,392.4017,1974.5631,931.1772
Chad,TCD,2019,1301.073,2972.5576,2613.771
Chile,CHL,2019,2324.8608,11179.0205,5808.347
China,CHN,2019,416054.06,2418664.5,1423632.6
Colombia,COL,2019,3555.9714,17295.855,13032.836
Comoros,COM,2019,73.67009,249.94576,93.33779
Congo,COG,2019,296.79318,1432.9102,1803.0613
Cook Islands,COK,2019,7.6986465,21.338852,3.0508826
Costa Rica,CRI,2019,321.67938,2117.9595,937.54596
Cote d'Ivoire,CIV,2019,2352.0571,6480.603,6732.243
Croatia,HRV,2019,1500.095,9639.795,3072.4636
Cuba,CUB,2019,2176.702,19989.672,5844.5195
Cyprus,CYP,2019,160.09152,1534.8259,413.3077
Czechia,CZE,2019,2389.681,20716.18,6254.9
Democratic Republic of Congo,COD,2019,2185.1926,15716.788,11059.886
Denmark,DNK,2019,717.595,12728.48,1298.1881
Djibouti,DJI,2019,115.87223,491.3395,453.15884
Dominica,DMA,2019,7.850223,41.441536,32.72835
Dominican Republic,DOM,2019,998.9693,8202.459,3798.1353
East Asia & Pacific (WB),,2019,582676.9,3390912,1774090.1
East Timor,TLS,2019,202.9141,927.80707,210.29707
Eastern Mediterranean Region (WHO),,2019,105841.39,403946,389412.1
Ecuador,ECU,2019,723.61896,4804.3813,4236.061
Egypt,EGY,2019,19666.855,74032.45,90559.195
El Salvador,SLV,2019,374.25577,1704.7036,1901.1912
England,,2019,6593.878,96058.62,12640.888
Equatorial Guinea,GNQ,2019,47.278057,191.81038,397.29208
Eritrea,ERI,2019,371.93204,1465.0394,1379.7936
Estonia,EST,2019,203.78148,2195.7437,159.55215
Eswatini,SWZ,2019,86.79494,361.7174,343.51355
Ethiopia,ETH,2019,1788.308,8123.417,8956.508
Europe & Central Asia (WB),,2019,169045.75,1511453.4,433234.53
European Region (WHO),,2019,170520.1,1523327.2,438406.5
Fiji,FJI,2019,343.9291,923.9281,330.1503
Finland,FIN,2019,401.9426,6763.1167,385.08203
France,FRA,2019,4054.389,80348.414,13245.494
G20,,2019,951579.2,6077186.5,3060157
Gabon,GAB,2019,117.05742,523.64197,820.8673
Gambia,GMB,2019,224.49838,610.83856,487.07983
Georgia,GEO,2019,1578.1581,7172.231,3111.7373
Germany,DEU,2019,8061.507,143642.36,27040.516
Ghana,GHA,2019,1231.6533,5476.902,12543.611
Greece,GRC,2019,2616.0857,26257.793,5715.494
Greenland,GRL,2019,11.524708,127.23302,6.098625
Grenada,GRD,2019,11.39425,54.71671,51.466305
Guam,GUM,2019,41.59172,158.63028,31.017807
Guatemala,GTM,2019,1031.0387,3788.0142,3734.4785
Guinea,GIN,2019,1197.9348,4249.9507,2454.6013
Guinea-Bissau,GNB,2019,143.30084,301.46283,355.18192
Guyana,GUY,2019,116.886345,423.08725,411.20135
Haiti,HTI,2019,842.1015,3117.2915,1822.0677
High Income (WB),,2019,140960.98,1733618.2,323644.03
Honduras,HND,2019,817.3039,4226.1978,1783.0398
Hungary,HUN,2019,3600.1655,24823.04,6939.9316
Iceland,ISL,2019,29.655249,344.51797,15.540851
India,IND,2019,240097.83,1013282.44,979681.5
Indonesia,IDN,2019,52554.875,246358.8,106709.91
Iran,IRN,2019,10606.724,39926.035,41742.297
Iraq,IRQ,2019,6635.048,25199.168,25378.258
Ireland,IRL,2019,435.44397,6183.721,535.4542
Israel,ISR,2019,542.429,6143.872,2279.719
Italy,ITA,2019,8374.083,90488.75,24666.268
Jamaica,JAM,2019,340.25922,1721.4054,937.7582
Japan,JPN,2019,16796.174,199396.19,39691.707
